"""","一般世帯_総数","核家族世帯_夫婦のみ","核家族世帯_夫婦と子供","核家族世帯_男親と子供","核家族世帯_女親と子供","その他の親族世帯","非親族を含む世帯","単独世帯"
"総  数","392842.0","89362.0","109077.0","5191.0","32319.0","46025.0","2444.0","107692.0"
"","","","","","","","",""
"　和歌山市","152306.0","32951.0","43058.0","1945.0","12792.0","13220.0","1120.0","47152.0"
"　海 南 市","20726.0","5001.0","5754.0","269.0","1605.0","3139.0","113.0","4826.0"
"　橋 本 市","23408.0","5252.0","8080.0","327.0","1965.0","3140.0","87.0","4542.0"
"　有 田 市","10721.0","2192.0","2998.0","141.0","879.0","2206.0","52.0","2249.0"
"　御 坊 市","9961.0","2002.0","2503.0","168.0","891.0","1463.0","73.0","2837.0"
"　田 辺 市","32630.0","7667.0","8526.0","476.0","2959.0","3112.0","200.0","9677.0"
"　新 宮 市","14037.0","3639.0","3276.0","188.0","1222.0","837.0","84.0","4789.0"
"　紀の川市","23193.0","5167.0","7088.0","319.0","1800.0","4169.0","111.0","4531.0"
"　岩 出 市","19529.0","4024.0","7043.0","254.0","1581.0","1672.0","164.0","4339.0"
"","","","","","","","",""
"  紀美野町","3962.0","1112.0","873.0","49.0","286.0","656.0","14.0","972.0"
"","","","","","","","",""
"　かつらぎ町","6454.0","1431.0","1608.0","81.0","526.0","1405.0","20.0","1381.0"
"　九度山町","1739.0","398.0","388.0","28.0","140.0","400.0","5.0","378.0"
"　高 野 町","1775.0","393.0","234.0","22.0","97.0","199.0","36.0","794.0"
"","","","","","","","",""
"　湯 浅 町","4962.0","1052.0","1298.0","79.0","421.0","769.0","32.0","1311.0"
"　広 川 町","2492.0","504.0","676.0","26.0","173.0","636.0","24.0","453.0"
"　有田川町","9208.0","2197.0","2435.0","106.0","584.0","2027.0","36.0","1797.0"
"","","","","","","","",""
"　美 浜 町","3071.0","779.0","819.0","39.0","249.0","350.0","22.0","813.0"
"　日 高 町","2647.0","671.0","748.0","34.0","198.0","503.0","8.0","477.0"
"　由 良 町","2409.0","573.0","581.0","31.0","186.0","411.0","10.0","617.0"
"　印 南 町","3013.0","740.0","714.0","29.0","213.0","700.0","8.0","609.0"
"　みなべ町","4389.0","863.0","1151.0","60.0","293.0","1171.0","20.0","828.0"
"　日高川町","3744.0","906.0","938.0","47.0","272.0","722.0","20.0","839.0"
"","","","","","","","",""
"　白 浜 町","9582.0","2358.0","2159.0","132.0","775.0","894.0","86.0","3119.0"
"　上富田町","5597.0","1321.0","1775.0","78.0","470.0","612.0","4.0","1311.0"
"　すさみ町","2111.0","564.0","429.0","33.0","159.0","200.0","8.0","718.0"
"","","","","","","","",""
"　那智勝浦町","7717.0","2232.0","1670.0","93.0","632.0","556.0","53.0","2480.0"
"　太 地 町","1414.0","429.0","330.0","23.0","106.0","83.0","6.0","437.0"
"　古座川町","1479.0","468.0","237.0","14.0","126.0","101.0","1.0","532.0"
"　北 山 村","255.0","102.0","29.0","1.0","24.0","10.0","1.0","88.0"
"　串 本 町","8311.0","2374.0","1659.0","99.0","695.0","662.0","26.0","2796.0"
