"""","65歳以上の親族のいる一般世帯_世帯数_世帯","65歳以上の親族のいる一般世帯_世帯人員_人","65歳以上の親族のいる一般世帯_65歳以上親族人員_人","65歳以上の高齢単身者_総数_人","（年齢階級別）65歳以上の高齢単身者_65～69歳_人","（年齢階級別）65歳以上の高齢単身者_70～74歳_人","（年齢階級別）65歳以上の高齢単身者_75～79歳_人","（年齢階級別）65歳以上の高齢単身者_80～84歳_人","（年齢階級別）65歳以上の高齢単身者_85歳以上_人","(別掲)60歳以上の高齢単身者_人"
"総  数","181097.0","431108.0","255376.0","50309.0","9972.0","10605.0","11544.0","10159.0","8029.0","60293.0"
"","","","","","","","","","",""
"　和歌山市","63228.0","142085.0","88430.0","18834.0","4180.0","4285.0","4351.0","3551.0","2467.0","23014.0"
"　海 南 市","11067.0","27469.0","15920.0","2814.0","505.0","554.0","660.0","605.0","490.0","3318.0"
"　橋 本 市","10466.0","27396.0","14971.0","2306.0","451.0","530.0","523.0","484.0","318.0","2801.0"
"　有 田 市","5538.0","15688.0","7850.0","1148.0","243.0","250.0","298.0","201.0","156.0","1387.0"
"　御 坊 市","4653.0","11669.0","6477.0","1209.0","219.0","266.0","296.0","243.0","185.0","1444.0"
"　田 辺 市","15110.0","33726.0","21139.0","4616.0","836.0","884.0","1060.0","960.0","876.0","5474.0"
"　新 宮 市","6637.0","12606.0","9169.0","2537.0","401.0","494.0","577.0","560.0","505.0","2999.0"
"　紀の川市","11227.0","30869.0","16176.0","2305.0","455.0","489.0","523.0","481.0","357.0","2743.0"
"　岩 出 市","5709.0","14281.0","8023.0","1229.0","363.0","273.0","273.0","180.0","140.0","1603.0"
"","","","","","","","","","",""
"  紀美野町","2551.0","6006.0","3685.0","716.0","84.0","113.0","183.0","175.0","161.0","815.0"
"","","","","","","","","","",""
"　かつらぎ町","3946.0","10700.0","5672.0","912.0","164.0","211.0","215.0","177.0","145.0","1049.0"
"　九度山町","1189.0","3273.0","1718.0","281.0","63.0","68.0","49.0","60.0","41.0","315.0"
"　高 野 町","961.0","2157.0","1370.0","321.0","45.0","68.0","75.0","69.0","64.0","365.0"
"","","","","","","","","","",""
"　湯 浅 町","2489.0","6286.0","3454.0","703.0","140.0","147.0","158.0","141.0","117.0","854.0"
"　広 川 町","1357.0","4239.0","1948.0","267.0","63.0","48.0","54.0","55.0","47.0","312.0"
"　有田川町","5259.0","14842.0","7642.0","1177.0","168.0","214.0","276.0","284.0","235.0","1341.0"
"","","","","","","","","","",""
"　美 浜 町","1515.0","3423.0","2123.0","445.0","88.0","71.0","101.0","107.0","78.0","508.0"
"　日 高 町","1378.0","3647.0","2004.0","283.0","50.0","63.0","45.0","63.0","62.0","336.0"
"　由 良 町","1354.0","3373.0","1897.0","346.0","65.0","71.0","79.0","75.0","56.0","416.0"
"　印 南 町","1857.0","5182.0","2631.0","410.0","59.0","96.0","83.0","86.0","86.0","467.0"
"　みなべ町","2493.0","7901.0","3543.0","452.0","72.0","98.0","114.0","98.0","70.0","530.0"
"　日高川町","2173.0","5709.0","3078.0","534.0","76.0","97.0","122.0","118.0","121.0","601.0"
"","","","","","","","","","",""
"　白 浜 町","4700.0","10072.0","6581.0","1504.0","317.0","305.0","323.0","317.0","242.0","1815.0"
"　上富田町","2162.0","5204.0","3057.0","533.0","117.0","118.0","113.0","102.0","83.0","677.0"
"　すさみ町","1324.0","2604.0","1837.0","499.0","71.0","84.0","113.0","111.0","120.0","573.0"
"","","","","","","","","","",""
"　那智勝浦町","4122.0","7940.0","5742.0","1507.0","282.0","286.0","354.0","297.0","288.0","1737.0"
"　太 地 町","778.0","1473.0","1098.0","286.0","47.0","57.0","70.0","64.0","48.0","324.0"
"　古座川町","984.0","1789.0","1368.0","394.0","55.0","56.0","88.0","90.0","105.0","440.0"
"　北 山 村","162.0","285.0","238.0","53.0","12.0","13.0","13.0","9.0","6.0","59.0"
"　串 本 町","4708.0","9214.0","6535.0","1688.0","281.0","296.0","355.0","396.0","360.0","1976.0"
